ст 0,017287081
то 0,016189384
но 0,015509692
на 0,014286696
по 0,012561554
ен 0,012506553
ни 0,012429589
ко 0,012332725
ра 0,012164638
ов 0,01181261
не 0,011580037
ро 0,011360583
пр 0,010071112
ал 0,009934598
го 0,009851176
ре 0,009614395
ос 0,009557315
ли 0,009317433
ка 0,009044566
во 0,008865599
ер 0,00876774
та 0,008762033
от 0,008459791
ва 0,00839813
ор 0,008229476
ол 0,008133364
ет 0,007971489
те 0,007924578
ом 0,00773314
ан 0,00763973
ел 0,007486017
од 0,007448424
ть 0,007317125
ла 0,007133504
он 0,00709107
ле 0,007048672
ло 0,007019519
ес 0,006935948
ат 0,0069023
ри 0,006796383
ль 0,006794746
де 0,006746787
ог 0,006683082
ве 0,006615745
ны 0,00654029
ти 0,006477718
за 0,006436262
ит 0,006296205
ск 0,006233696
да 0,006157713
ак 0,005890477
ой 0,005860341
ин 0,005746601
ме 0,005653817
ем 0,005635007
ил 0,005627418
че 0,005466777
об 0,005353113
ас 0,005333574
до 0,005198653
мо 0,005114433
ки 0,004967058
тр 0,004861059
ся 0,004823592
ед 0,004664895
со 0,004614933
ми 0,004614066
нн 0,004571955
се 0,004553301
ам 0,004506392
ис 0,004488501
ав 0,004459158
же 0,00438897
аз 0,004362369
ма 0,00425461
им 0,004216316
тв 0,004139731
ар 0,004092213
ви 0,004066023
ие 0,003880701
ру 0,003816143
бо 0,003657131
сл 0,003622259
из 0,00360234
вы 0,003593419
ди 0,003586303
бы 0,00354336
ия 0,003487521
ик 0,00346511
ег 0,003394706
пе 0,003376729
ив 0,003230987
чт 0,003206419
вс 0,003194043
ей 0,003185134
сь 0,002959287
ок 0,002926101
ьн 0,002856729
ое 0,002796657
ну 0,002787949
си 0,002771745
их 0,00275199
эт 0,002748411
хо 0,002745854
ад 0,002744977
ча 0,00271045
ож 0,002607386
ая 0,002603229
сп 0,002602631
ля 0,002587508
ев 0,002573878
ич 0,002556337
му 0,002533186
чи 0,002523889
ше 0,002516392
тс 0,002511532
дн 0,002504936
ку 0,002490682
уд 0,002431438
ых 0,002418668
са 0,00241862
ек 0,002393031
бе 0,002388696
оч 0,002366897
ий 0,002343276
па 0,002316795
ци 0,002299979
кр 0,002272607
зн 0,002223731
оп 0,002223102
ае 0,002210169
ду 0,002209506
ии 0,002196537
ще 0,002130548
ту 0,002122839
ые 0,00211779
ый 0,002105216
ир 0,002099194
ты 0,00206397
оз 0,002025319
вн 0,002018555
ыл 0,001998118
ры 0,001996809
ят 0,001990944
ут 0,001989684
тн 0,001979613
жи 0,001948245
нт 0,001944254
ус 0,001919031
сс 0,001908503
ши 0,001901775
ид 0,001881865
ым 0,001863389
ня 0,001852793
га 0,001849205
св 0,0018165
ез 0,001812755
лу 0,001757499
кт 0,001748038
мы 0,001745127
мн 0,001699951
ее 0,001690738
уж 0,001688904
ую 0,001669093
вл 0,001665693
ул 0,001599084
гр 0,001585953
пи 0,001578734
аж 0,001570213
бр 0,00156941
аб 0,001557405
уч 0,001531996
др 0,00151058
це 0,00149896
аю 0,001489596
еч 0,001485552
сн 0,001483648
ач 0,001475069
ги 0,00147024
чн 0,001455054
су 0,001452639
гл 0,001447822
лю 0,001443118
жн 0,001433742
ах 0,001426917
еб 0,001390937
бу 0,001385295
рн 0,001375326
ур 0,001371338
ьс 0,001339591
ыв 0,001332037
щи 0,001303539
нь 0,001294398
зв 0,00129402
пл 0,001292165
ап 0,001292148
жа 0,001279096
гд 0,001270604
ря 0,001263811
нс 0,001255772
ьк 0,001252256
уг 0,001246388
бл 0,001244889
ои 0,001242846
лс 0,001237773
жд 0,001224951
аш 0,001221001
ба 0,001210427
би 0,001200687
ум 0,001191607
иц 0,001190864
еп 0,00117496
рт 0,001166716
зд 0,001159511
ют 0,00113228
зо 0,001120398
еж 0,001115511
вр 0,001111062
дл 0,001109023
ук 0,001105833
уп 0,001091369
кл 0,001075583
ша 0,001055714
еш 0,001046783
ош 0,001045152
пу 0,001040802
см 0,00101982
аг 0,001011651
дв 0,001005248
ву 0,001004706
ке 0,000982428
тк 0,00096769
ац 0,00095519
йс 0,000933618
оя 0,000927314
ай 0,00092268
зи 0,000922222
ио 0,000909966
ды 0,000909722
уб 0,000906421
нк 0,000902409
ыс 0,000883198
ыт 0,000875677
иг 0,000866156
ех 0,000858828
ющ 0,000839838
ещ 0,000816553
ха 0,000811854
нд 0,000811319
дс 0,000806485
рм 0,000805362
ял 0,000802899
ге 0,000792575
ян 0,000785927
гу 0,000776218
ию 0,000775762
лы 0,00076987
уш 0,000758554
рс 0,000757684
фи 0,000742016
тя 0,000730434
ца 0,000723759
зы 0,000710585
вш 0,000703021
ох 0,000702057
иш 0,000693791
зм 0,000689678
фо 0,0006882
ьш 0,000684877
иа 0,000673819
нц 0,000658587
кс 0,000649555
ям 0,000640916
шк 0,000637609
ув 0,000636532
рь 0,000635207
зу 0,000633869
рг 0,000630958
иб 0,000628611
рв 0,000619322
яд 0,000615208
ср 0,000613333
зе 0,000601904
чу 0,000599265
шл 0,000595144
фе 0,000594354
мя 0,000587804
яв 0,000578584
ун 0,000577955
шь 0,000577126
лн 0,000576591
ью 0,000574386
рк 0,000560513
ье 0,000551843
чк 0,000549595
дь 0,000540849
ущ 0,000540481
ща 0,000539418
ыш 0,000535502
оо 0,000535256
ео 0,000531225
ух 0,000528275
бя 0,000525294
вк 0,000521887
сы 0,000515682
яс 0,000515426
вт 0,000515188
йн 0,000509472
зр 0,000504628
ец 0,000500796
юд 0,000497148
яз 0,000485634
бн 0,000485188
лк 0,000480904
бщ 0,000475523
уз 0,000473335
рж 0,000464462
вя 0,000459965
мп 0,000457064
кн 0,00045463
лл 0,000448998
дя 0,000446803
уе 0,000446181
кв 0,000445126
сч 0,000442003
шн 0,000441453
вз 0,000441058
юб 0,000439012
оц 0,000431055
иж 0,000428833
ип 0,000425765
яе 0,000425344
ья 0,000424845
пы 0,000422866
ащ 0,00040348
дк 0,000385647
рд 0,000381727
лж 0,000381587
оф 0,000375974
аи 0,00036561
хи 0,000362894
ящ 0,000358672
ях 0,000352732
хн 0,000352506
ощ 0,000347303
зл 0,000345912
фа 0,000345536
ыр 0,000345524
эк 0,000343182
вд 0,000339755
шо 0,000334167
бс 0,00033169
ын 0,000327998
зя 0,000324718
шу 0,000324627
зг 0,000320467
тл 0,000316643
ьм 0,000315949
вп 0,00031587
хр 0,000311848
мл 0,000308534
ьт 0,00030798
йт 0,000306493
жу 0,000304534
гн 0,000302905
еа 0,000301341
пя 0,000301153
ык 0,000295488
рш 0,000293782
нг 0,00029343
бъ 0,000291128
ея 0,000289861
мм 0,000287904
ою 0,000287145
яю 0,000281446
ьз 0,000281246
ыб 0,00027772
цы 0,000275927
ъе 0,000275718
кц 0,000272566
сх 0,000272453
сд 0,000265216
ып 0,000264994
аф 0,000257358
чь 0,000257085
як 0,000255832
ау 0,000251001
юч 0,000248246
ищ 0,000246374
дп 0,000243547
рх 0,000241909
нч 0,000239357
мс 0,000233908
уа 0,000230503
фр 0,000228009
вь 0,000225197
цо 0,000224703
дц 0,000220565
ыч 0,000219765
йч 0,00021957
еф 0,000217182
тд 0,000213468
зб 0,000211702
ху 0,000208434
зк 0,000203822
лг 0,000201641
хв 0,000198296
пн 0,000197952
иф 0,000195833
вм 0,000195592
ню 0,000194426
дж 0,000192759
нф 0,000192691
оэ 0,000188366
йд 0,00018631
яж 0,000186156
пп 0,000185936
ыд 0,000185235
еи 0,000184457
шт 0,000183679
жк 0,00018356
юс 0,00018069
ею 0,000177365
мк 0,000176268
цу 0,000174762
яч 0,000174119
юр 0,000171413
рб 0,000168176
эл 0,000167212
дм 0,000166335
йк 0,000165993
сш 0,000165639
рю 0,000164738
сю 0,000163786
дт 0,00016286
рп 0,000159253
щу 0,000157911
хл 0,000157547
тч 0,000157222
яр 0,000155561
ъя 0,000155311
рр 0,000153816
чш 0,000153371
ьб 0,000150551
ыг 0,00014845
бк 0,000147672
йш 0,000146305
пт 0,00014617
мь 0,000142486
рч 0,000140274
тм 0,000140225
гк 0,000139707
зь 0,000139498
пк 0,000139379
рл 0,000135336
еу 0,000134859
ьц 0,000133815
нщ 0,000133169
яг 0,000127347
ьг 0,000126364
кж 0,00012593
пс 0,00012548
бх 0,000125347
уй 0,000122472
сб 0,000121571
цк 0,000118279
фу 0,000117467
мб 0,000116
ьи 0,000115149
пь 0,000115127
лч 0,000113896
яя 0,000111616
сц 0,000110814
оу 0,000110766
тп 0,000110725
цв 0,000110045
яц 0,000109211
тт 0,000108701
эн 0,000107202
лт 0,000106857
ыз 0,000105146
щн 0,000100522
хе 9,93843E-05
тю 9,83963E-05
яб 9,77914E-05
дд 9,72781E-05
зж 9,70757E-05
сф 9,67456E-05
нр 9,61383E-05
яй 9,57118E-05
нв 9,52105E-05
дш 9,37647E-05
вв 9,30514E-05
йо 8,87788E-05
рц 8,81137E-05
юн 8,808E-05
фл 8,80583E-05
ао 8,80366E-05
жо 8,68727E-05
хс 8,67088E-05
рф 8,57281E-05
дч 8,5422E-05
ьч 8,31689E-05
чо 8,18097E-05
эр 8,08314E-05
фф 8,06289E-05
вч 7,92048E-05
юз 7,80649E-05
лд 7,66649E-05
сё 7,64576E-05
эф 7,60022E-05
ьд 7,5566E-05
бю 7,35345E-05
бв 7,29658E-05
жб 7,26333E-05
уя 7,24285E-05
тц 7,21537E-05
нз 7,00066E-05
фт 6,97705E-05
вг 6,94909E-05
хм 6,925E-05
чл 6,69269E-05
юм 6,68546E-05
дх 6,67992E-05
йм 6,41268E-05
дг 6,37581E-05
тб 6,28351E-05
йц 6,25652E-05
эм 6,2423E-05
эп 6,10663E-05
щь 6,06976E-05
вх 6,0594E-05
ёт 6,05699E-05
юк 5,86469E-05
яп 5,82059E-05
жч 5,6401E-05
оа 5,51431E-05
ыж 5,41984E-05
бм 5,39599E-05
рз 5,38804E-05
мр 5,37888E-05
эс 5,37888E-05
юл 5,37864E-05
ён 5,34514E-05
йл 5,21911E-05
кк 5,20465E-05
юц 5,15525E-05
вц 5,0938E-05
ыя 4,95283E-05
съ 4,89837E-05
щё 4,79836E-05
чр 4,79185E-05
дз 4,78559E-05
хт 4,77475E-05
кз 4,74727E-05
дъ 4,70558E-05
шв 4,59208E-05
иу 4,58823E-05
бь 4,48774E-05
ём 4,40219E-05
дб 4,32821E-05
юш 4,29327E-05
чё 4,28797E-05
жь 4,25809E-05
мв 4,23736E-05
юж 4,16652E-05
мч 4,16146E-05
мц 4,15808E-05
мг 4,03807E-05
уц 3,9759E-05
жс 3,96771E-05
лб 3,96072E-05
лп 3,94795E-05
уи 3,90023E-05
юю 3,88529E-05
нж 3,82047E-05
гч 3,72673E-05
сг 3,66552E-05
ьв 3,6313E-05
её 3,57853E-05
зс 3,54407E-05
пц 3,46575E-05
лё 3,4378E-05
яи 3,41539E-05
ёл 3,40093E-05
яш 3,32357E-05
уф 3,25489E-05
гс 3,16453E-05
аэ 3,13296E-05
фс 3,13079E-05
дю 3,09826E-05
лм 3,05609E-05
юг 3,05079E-05
рщ 3,04693E-05
вщ 3,04452E-05
ёр 2,9103E-05
эд 2,85535E-05
лз 2,84499E-05
гм 2,78282E-05
гв 2,77655E-05
дё 2,74788E-05
мф 2,73028E-05
зъ 2,68908E-05
шп 2,66956E-05
мэ 2,65438E-05
эв 2,59317E-05
пч 2,56546E-05
км 2,51172E-05
ьф 2,49509E-05
бж 2,4722E-05
тх 2,45099E-05
нш 2,40039E-05
эй 2,40014E-05
кп 2,34882E-05
уэ 2,3011E-05
гт 2,28544E-05
нб 2,27893E-05
ьо 2,277E-05
бд 2,24375E-05
шм 2,20086E-05
кг 2,17266E-05
зч 2,16519E-05
шё 2,15627E-05
юх 2,14133E-05
сж 2,12447E-05
бб 2,11748E-05
нё 2,05434E-05
кш 2,05097E-05
зз 2,03964E-05
тщ 2,0341E-05
фы 2,01675E-05
зц 2,01072E-05
гг 1,98566E-05
лх 1,97867E-05
йе 1,97602E-05
аа 1,96301E-05
тё 1,9553E-05
ьщ 1,9418E-05
ыи 1,90011E-05
тф 1,86758E-05
нх 1,85336E-05
тг 1,79939E-05
рэ 1,76179E-05
лв 1,67721E-05
бш 1,6695E-05
рё 1,66637E-05
вё 1,6589E-05
ьп 1,63793E-05
лр 1,63263E-05
зт 1,61239E-05
хх 1,61118E-05
йз 1,60347E-05
эз 1,60251E-05
чв 1,54732E-05
шр 1,50611E-05
ыщ 1,48057E-05
оё 1,47503E-05
вб 1,46684E-05
нп 1,46684E-05
кд 1,44948E-05
сэ 1,44924E-05
йб 1,43792E-05
жл 1,4078E-05
тъ 1,37478E-05
жм 1,34876E-05
бз 1,32683E-05
уо 1,30634E-05
жр 1,30514E-05
сз 1,29261E-05
жг 1,28297E-05
тз 1,27791E-05
жё 1,27646E-05
жж 1,26249E-05
фь 1,24248E-05
йф 1,22152E-05
пш 1,21092E-05
зю 1,20007E-05
иэ 1,19573E-05
эх 1,18224E-05
тэ 1,16465E-05
лш 1,15694E-05
бэ 1,1338E-05
йр 1,12151E-05
хг 1,11549E-05
бт 1,11139E-05
хш 1,09476E-05
гб 1,09452E-05
мт 1,06079E-05
йг 1,05235E-05
фн 1,05187E-05
нэ 1,04753E-05
тш 1,04633E-05
фг 1,03091E-05
аё 1,02681E-05
